c_of_o_id,plot_number,block_number,area_name,state,owner_name,date_registered,status
C-OF-O-226E23AD,97,12,Nnewi,Anambra,Samuel Okonkwo,2021-12-17,Verified
C-OF-O-22BF2E1A,41,6,Onitsha GRA,Anambra,Hope Abiola,2020-08-26,Verified
C-OF-O-8B227796,51,2,Surulere,Lagos,Joseph Ekwueme,2024-07-24,Verified
C-OF-O-D07C088B,131,29,Onitsha GRA,Anambra,Peter Abiola,2018-05-15,Verified
C-OF-O-2CDE9B46,132,37,New Haven,Enugu,Charity Oyekan,2013-02-17,Verified
C-OF-O-9C9EC64E,22,7,Enugu-Ukwu,Anambra,John Adeyemi,2020-03-21,Verified
C-OF-O-3B4B2C28,122,13,Amawbia,Anambra,Agnes Ibrahim,2017-06-16,Verified
C-OF-O-49480DFA,156,29,Ikeja GRA,Lagos,Angela Ibrahim,2019-03-08,Verified
C-OF-O-B646E818,168,42,Ikeja GRA,Lagos,Nathaniel Olawale,2019-12-08,Verified
C-OF-O-36D27F03,76,11,Trans-Ekulu,Enugu,Esther Eze,2021-01-06,Verified
C-OF-O-C922F249,58,1,Onitsha GRA,Anambra,Faith Ibrahim,2018-04-15,Verified
C-OF-O-3C2D5231,37,47,Surulere,Lagos,Blessing Ogunleye,2020-11-03,Verified
C-OF-O-FF63E479,111,46,Trans-Ekulu,Enugu,Nathaniel Uche,2013-03-07,Verified
C-OF-O-14509AC0,36,15,Enugu-Ukwu,Anambra,Grace Ekwueme,2023-07-05,Verified
C-OF-O-C3422F8E,96,18,Surulere,Lagos,Charity Olawale,2015-05-08,Verified
C-OF-O-32AC1AA7,89,47,Ikeja GRA,Lagos,Charity Ojo,2017-08-02,Verified
C-OF-O-96E07CF5,80,48,Victoria Island,Lagos,Philip Uche,2020-08-31,Verified
C-OF-O-44FC314A,118,11,Onitsha GRA,Anambra,Juliet Ibrahim,2016-06-05,Verified
C-OF-O-64666802,5,47,Amawbia,Anambra,Andrew Oyekan,2019-11-22,Verified
C-OF-O-ED40A885,39,22,Uwani,Enugu,Faith Ojo,2012-01-29,Verified
C-OF-O-3FD4CD61,7,16,GRA,Enugu,Gabriel Ibrahim,2015-02-18,Verified
C-OF-O-E0895236,55,38,New Haven,Enugu,Joseph Obi,2020-09-08,Verified
C-OF-O-A289FA8E,44,13,Ikeja GRA,Lagos,Ruth Olawale,2019-07-24,Verified
C-OF-O-B73C0B6E,121,26,Enugu-Ukwu,Anambra,Gloria Okonkwo,2014-06-05,Verified
C-OF-O-51B5EB9B,29,21,Surulere,Lagos,Patience Okafor,2013-08-16,Verified
C-OF-O-3D8F5450,187,50,Enugu-Ukwu,Anambra,Blessing Ekwueme,2021-08-25,Verified
C-OF-O-F39B5E74,56,46,New Haven,Enugu,Joseph Nnamani,2022-04-12,Verified
C-OF-O-2A709503,62,12,Ikoyi,Lagos,Ruth Ekwueme,2020-08-31,Verified
C-OF-O-6D18D803,33,27,Ikeja GRA,Lagos,Mary Obasanjo,2023-08-01,Pledged as Collateral
C-OF-O-114284F5,129,10,Ikoyi,Lagos,John Okonkwo,2016-02-21,Verified
C-OF-O-5BFE314C,197,37,New Haven,Enugu,Grace Okonkwo,2014-07-31,Under Dispute
C-OF-O-0EE1FEB1,34,12,Surulere,Lagos,Mary Ibrahim,2022-11-14,Verified
C-OF-O-748550AF,154,38,Ikoyi,Lagos,David Nnamani,2013-03-09,Verified
C-OF-O-9E17637F,57,12,Uwani,Enugu,Agnes Oyekan,2011-05-21,Verified
C-OF-O-0103E90D,50,47,Ikoyi,Lagos,Emmanuel Oyekan,2016-11-19,Verified
C-OF-O-AF0D32F0,86,2,Amawbia,Anambra,Comfort Okonkwo,2022-09-12,Verified
C-OF-O-6539AB1E,91,23,Amawbia,Anambra,Samuel Balogun,2013-06-03,Verified
C-OF-O-C7CC6700,121,42,Victoria Island,Lagos,Paul Ogunleye,2015-01-17,Verified
C-OF-O-EA523959,49,36,Nnewi,Anambra,Victoria Akinwale,2017-01-04,Verified
C-OF-O-16709BF0,15,42,New Haven,Enugu,Cornelius Obasanjo,2023-10-21,Verified
C-OF-O-A6307E9B,151,18,Ikeja GRA,Lagos,Philip Okonkwo,2017-09-29,Verified
C-OF-O-07BD02BF,109,41,New Haven,Enugu,Peter Okonkwo,2012-11-01,Verified
C-OF-O-4FE00182,28,27,Uwani,Enugu,Peter Adeyemi,2022-12-31,Verified
C-OF-O-0374CCA6,22,15,Amawbia,Anambra,Peace Akinwale,2017-03-09,Verified
C-OF-O-07A3D15A,2,46,Ikoyi,Lagos,Grace Okafor,2019-04-27,Verified
C-OF-O-7E351F63,39,46,Ikeja GRA,Lagos,James Eze,2019-10-25,Verified
C-OF-O-C3CE8A51,133,34,Ikeja GRA,Lagos,Michael Balogun,2011-09-16,Verified
C-OF-O-01FF2487,70,20,Uwani,Enugu,Philip Oyekan,2010-11-15,Verified
C-OF-O-96E3E5E8,64,22,Enugu-Ukwu,Anambra,Daniel Eze,2014-09-10,Verified
C-OF-O-9CF39AE1,62,30,Uwani,Enugu,Mary Abiola,2011-01-27,Verified
C-OF-O-A8704641,133,44,GRA,Enugu,Faith Ogunleye,2018-03-31,Verified
C-OF-O-CC728D84,160,17,Surulere,Lagos,Agnes Obasanjo,2022-11-18,Verified
C-OF-O-4A7CFD30,33,4,Uwani,Enugu,Stephen Olawale,2022-11-24,Verified
C-OF-O-00C58E68,107,37,Ikeja GRA,Lagos,Gloria Eze,2016-09-10,Verified
C-OF-O-E8783B26,69,34,Trans-Ekulu,Enugu,Benjamin Adetokunbo,2013-06-28,Verified
C-OF-O-B331EB31,139,17,Uwani,Enugu,Benjamin Adeyemi,2022-11-22,Verified
C-OF-O-C7450171,127,24,Ikeja GRA,Lagos,Elizabeth Ibrahim,2016-04-08,Verified
C-OF-O-64AACBDF,85,12,GRA,Enugu,Hope Uche,2018-05-07,Verified
C-OF-O-37B69649,101,31,Amawbia,Anambra,Nathaniel Ibrahim,2014-06-17,Verified
C-OF-O-54D0D059,110,9,Nnewi,Anambra,Charity Adetokunbo,2024-09-02,Verified
C-OF-O-451BADE7,63,30,Nnewi,Anambra,Philip Olawale,2022-07-13,Verified
C-OF-O-7121C1A1,110,45,Victoria Island,Lagos,David Obasanjo,2017-07-11,Verified
C-OF-O-8F730178,122,25,GRA,Enugu,Peace Ibrahim,2019-09-12,Verified
C-OF-O-91B39F3E,95,46,Nnewi,Anambra,Sarah Oshodi,2013-07-08,Verified
C-OF-O-733947B7,183,33,Trans-Ekulu,Enugu,Mark Chukwu,2013-06-20,Verified
C-OF-O-F73FDA87,178,35,Surulere,Lagos,Faith Balogun,2014-11-18,Verified
C-OF-O-E95D137A,87,16,Nnewi,Anambra,Comfort Nnamani,2023-10-11,Verified
C-OF-O-A433DC93,60,27,Enugu-Ukwu,Anambra,Benjamin Akinwale,2018-03-14,Verified
C-OF-O-6B628612,75,4,Victoria Island,Lagos,Juliet Ojo,2023-01-21,Verified
C-OF-O-4135DE87,181,45,Trans-Ekulu,Enugu,Daniel Ekwueme,2014-10-21,Verified
C-OF-O-8FC087DE,195,18,Uwani,Enugu,Esther Ogunleye,2015-10-18,Verified
C-OF-O-C94515CB,72,35,Nnewi,Anambra,Grace Adeyemi,2012-12-22,Verified
C-OF-O-396D5DB6,188,47,Nnewi,Anambra,Elizabeth Eze,2016-04-14,Verified
C-OF-O-1F612695,166,4,Ikoyi,Lagos,Philip Oshodi,2018-04-20,Verified
C-OF-O-50881F90,92,36,New Haven,Enugu,Esther Olawale,2011-09-10,Verified
C-OF-O-35C285E2,186,31,Victoria Island,Lagos,Juliet Adetokunbo,2012-01-15,Verified
C-OF-O-9229CFE1,194,40,New Haven,Enugu,Blessing Oyekan,2021-11-04,Verified
C-OF-O-00CFCE0B,171,10,Onitsha GRA,Anambra,James Balogun,2010-11-08,Verified
C-OF-O-BEA830B8,18,32,Ikoyi,Lagos,Esther Abiola,2017-11-30,Verified
C-OF-O-E2232431,79,32,Trans-Ekulu,Enugu,Samuel Okafor,2012-01-22,Verified
C-OF-O-05B686AC,94,8,Trans-Ekulu,Enugu,Joy Ogunleye,2021-11-29,Verified
C-OF-O-6C8E366F,56,48,New Haven,Enugu,Grace Okafor,2012-10-26,Pledged as Collateral
C-OF-O-94BAEA15,113,5,Trans-Ekulu,Enugu,Blessing Ibrahim,2014-07-03,Verified
C-OF-O-24DACD25,193,13,New Haven,Enugu,Patience Adeyemi,2022-09-21,Verified
C-OF-O-E5609693,145,3,Uwani,Enugu,James Ojo,2014-03-04,Verified
C-OF-O-623A6B38,29,29,Trans-Ekulu,Enugu,Elizabeth Adeyemi,2013-12-26,Verified
C-OF-O-BD10C7E2,133,37,Enugu-Ukwu,Anambra,John Obi,2013-06-27,Verified
C-OF-O-B1988A4D,47,9,Surulere,Lagos,Mary Chukwu,2024-07-21,Verified
C-OF-O-A61DE4F2,191,17,Enugu-Ukwu,Anambra,Ruth Nnamani,2021-10-20,Verified
C-OF-O-6D50AD43,19,4,Uwani,Enugu,Nathaniel Abiola,2012-04-22,Verified
C-OF-O-18406808,15,27,Ikoyi,Lagos,James Adeyemi,2012-08-31,Verified
C-OF-O-6BFD7D26,99,23,Amawbia,Anambra,Paul Obi,2017-10-12,Verified
C-OF-O-6449E017,55,41,Amawbia,Anambra,Emmanuel Ogunleye,2017-02-07,Verified
C-OF-O-AEFFED5F,115,20,GRA,Enugu,Andrew Uche,2019-04-22,Verified
C-OF-O-4A272427,57,5,Onitsha GRA,Anambra,Philip Oyekan,2021-12-12,Verified
C-OF-O-728C9FD4,179,50,Onitsha GRA,Anambra,Emmanuel Obasanjo,2018-03-07,Verified
C-OF-O-F6FAABC0,20,5,Trans-Ekulu,Enugu,Joy Adeyemi,2023-12-17,Verified
C-OF-O-13ED236F,11,34,Uwani,Enugu,Peace Abiola,2021-05-15,Verified
C-OF-O-F6F66728,149,48,GRA,Enugu,Paul Balogun,2016-08-21,Verified
C-OF-O-58D51689,110,29,Onitsha GRA,Anambra,Patience Chukwu,2011-03-07,Verified
C-OF-O-F48A359D,190,7,Amawbia,Anambra,Simon Adetokunbo,2023-03-24,Verified
C-OF-O-1E1BBC40,152,42,Uwani,Enugu,Comfort Adetokunbo,2021-04-15,Verified
C-OF-O-2FEE862F,190,11,Enugu-Ukwu,Anambra,Elizabeth Obi,2019-10-09,Verified
C-OF-O-FA3E738F,96,14,Enugu-Ukwu,Anambra,Emmanuel Uche,2021-10-20,Verified
C-OF-O-9CB1C27C,16,49,Nnewi,Anambra,Mary Obi,2021-12-23,Verified
C-OF-O-1592EF8E,21,10,GRA,Enugu,Emmanuel Adeyemi,2014-01-15,Verified
C-OF-O-D42769EE,86,39,Enugu-Ukwu,Anambra,Peace Uche,2014-09-17,Verified
C-OF-O-E903CB05,178,41,Onitsha GRA,Anambra,Joshua Nnamani,2022-02-25,Verified
C-OF-O-3D4D6559,7,50,Trans-Ekulu,Enugu,Mary Okonkwo,2014-05-08,Verified
C-OF-O-D8369548,81,10,GRA,Enugu,Michael Oyekan,2017-09-08,Verified
C-OF-O-08C43D78,192,26,Surulere,Lagos,Blessing Abiola,2019-09-09,Pledged as Collateral
C-OF-O-44CF47A4,6,42,Ikoyi,Lagos,Mary Ibrahim,2020-01-16,Verified
C-OF-O-D72CC010,170,40,Victoria Island,Lagos,Joshua Ojo,2022-09-23,Verified
C-OF-O-961F761C,151,11,Enugu-Ukwu,Anambra,Mary Ogunleye,2020-10-17,Verified
C-OF-O-ECC5430A,101,49,Nnewi,Anambra,Nathaniel Okonkwo,2017-09-16,Verified
C-OF-O-026C6BF3,85,18,Victoria Island,Lagos,Faith Oshodi,2024-06-21,Verified
C-OF-O-5F53B649,178,40,Amawbia,Anambra,Emmanuel Obasanjo,2021-12-01,Verified
C-OF-O-89CBF606,28,3,Victoria Island,Lagos,Elizabeth Oyekan,2012-04-07,Verified
C-OF-O-EAED5037,29,31,Ikeja GRA,Lagos,Daniel Ibrahim,2011-07-21,Verified
C-OF-O-157A7339,178,40,New Haven,Enugu,Daniel Balogun,2023-05-08,Under Dispute
C-OF-O-3EF5EAA5,19,2,GRA,Enugu,Sarah Ogunleye,2024-01-24,Verified
C-OF-O-B6615A0B,143,42,Surulere,Lagos,Grace Ekwueme,2021-01-30,Verified
C-OF-O-6ACFC0FA,2,27,Nnewi,Anambra,Gabriel Chukwu,2020-01-15,Verified
C-OF-O-DD403AEC,117,7,Ikoyi,Lagos,Hope Adetokunbo,2016-06-19,Verified
C-OF-O-40DDA9EA,185,40,Victoria Island,Lagos,Ruth Chukwu,2016-04-28,Verified
C-OF-O-080C8CCE,93,18,Enugu-Ukwu,Anambra,Patience Okafor,2018-11-26,Verified
C-OF-O-5346B960,52,7,Uwani,Enugu,Joy Olawale,2023-03-13,Verified
C-OF-O-90E526E9,109,16,Uwani,Enugu,David Eze,2015-07-15,Verified
C-OF-O-75456BE4,28,27,Victoria Island,Lagos,Mark Balogun,2013-04-02,Under Dispute
C-OF-O-598F2835,58,12,Ikoyi,Lagos,Andrew Balogun,2021-03-15,Verified
C-OF-O-DF2BDE17,38,34,GRA,Enugu,Paul Uche,2020-08-12,Verified
C-OF-O-7F1D6D87,74,21,Trans-Ekulu,Enugu,Gloria Olawale,2014-04-14,Verified
C-OF-O-CE9757C5,142,31,Onitsha GRA,Anambra,Patience Obasanjo,2011-07-04,Verified
C-OF-O-6699EADF,135,45,New Haven,Enugu,Hope Okonkwo,2011-09-15,Verified
C-OF-O-F6F6369B,120,8,Victoria Island,Lagos,Peter Ogunleye,2023-10-10,Verified
C-OF-O-557AC64C,40,37,Onitsha GRA,Anambra,Juliet Akinwale,2016-09-12,Verified
C-OF-O-1954545B,25,20,Onitsha GRA,Anambra,Patience Ogunleye,2018-04-17,Verified
C-OF-O-9FFF794B,107,21,GRA,Enugu,Angela Obi,2012-09-12,Verified
C-OF-O-FC1B20BA,54,27,Ikeja GRA,Lagos,Joshua Ekwueme,2023-03-24,Verified
C-OF-O-389D133C,75,10,Trans-Ekulu,Enugu,Michael Abiola,2010-11-17,Verified
C-OF-O-BEF9830A,167,11,Nnewi,Anambra,Cornelius Chukwu,2015-04-15,Verified
C-OF-O-4CC0419C,34,7,Ikeja GRA,Lagos,Joshua Abiola,2011-09-14,Verified
C-OF-O-24D038A9,59,7,Victoria Island,Lagos,Philip Oyekan,2021-11-30,Verified
C-OF-O-9DE32755,117,48,Ikeja GRA,Lagos,Paul Obi,2015-03-06,Under Dispute
C-OF-O-F6E461FA,164,28,Ikoyi,Lagos,Benjamin Ekwueme,2022-07-18,Verified
C-OF-O-0DDCB241,152,13,Onitsha GRA,Anambra,Angela Nnamani,2016-05-01,Verified
C-OF-O-DCF2F378,105,6,Victoria Island,Lagos,Angela Obasanjo,2015-03-17,Verified
C-OF-O-CC4857AB,21,40,GRA,Enugu,Charity Ojo,2014-05-08,Verified
C-OF-O-C23BDF34,165,39,Trans-Ekulu,Enugu,Daniel Eze,2016-12-30,Verified
C-OF-O-4C3CE56A,58,12,Ikoyi,Lagos,Blessing Obasanjo,2022-03-22,Verified
C-OF-O-BF902DE9,98,11,New Haven,Enugu,Elizabeth Chukwu,2011-02-28,Verified
C-OF-O-D362184D,107,38,GRA,Enugu,Agnes Okonkwo,2022-08-22,Verified
C-OF-O-99EB94A2,60,14,Enugu-Ukwu,Anambra,Joshua Abiola,2015-08-07,Verified
C-OF-O-FC918D3A,155,47,Surulere,Lagos,Andrew Akinwale,2015-01-31,Verified
C-OF-O-04709F25,156,32,Enugu-Ukwu,Anambra,Mark Adeyemi,2013-10-27,Verified
C-OF-O-F1F5DB0F,152,46,Nnewi,Anambra,Simon Obi,2011-05-08,Verified
C-OF-O-A7093E75,56,14,GRA,Enugu,Grace Balogun,2018-05-12,Verified
C-OF-O-47DFF09B,81,20,Ikeja GRA,Lagos,Joseph Okonkwo,2015-09-17,Verified
C-OF-O-C3031D1A,52,50,Ikeja GRA,Lagos,Cornelius Ogunleye,2015-02-11,Verified
C-OF-O-2D614AE1,196,12,Surulere,Lagos,Deborah Nnamani,2020-05-12,Verified
C-OF-O-134C5772,56,29,Onitsha GRA,Anambra,Cornelius Adeyemi,2019-07-12,Verified
C-OF-O-0E9A8E20,154,40,Amawbia,Anambra,James Ojo,2022-12-19,Verified
C-OF-O-433F60EC,131,36,Nnewi,Anambra,Grace Uche,2019-12-18,Verified
C-OF-O-CF856BB0,48,13,Nnewi,Anambra,Sarah Oyekan,2015-08-11,Verified
C-OF-O-45546E36,178,21,Enugu-Ukwu,Anambra,Gloria Okafor,2017-01-10,Verified
C-OF-O-4C7B6DD8,107,12,Uwani,Enugu,Andrew Akinwale,2016-09-05,Verified
C-OF-O-D60DACAA,194,45,Surulere,Lagos,Stephen Balogun,2019-06-07,Verified
C-OF-O-8864CC87,144,19,Onitsha GRA,Anambra,Paul Oyekan,2021-05-06,Verified
C-OF-O-C71FD22D,199,38,New Haven,Enugu,Angela Adetokunbo,2017-10-21,Verified
C-OF-O-94600DF5,34,7,Amawbia,Anambra,Hope Ojo,2017-12-19,Verified
C-OF-O-C045F5A7,115,40,GRA,Enugu,Mark Ojo,2013-07-24,Verified
C-OF-O-6DE6852E,120,41,Amawbia,Anambra,Nathaniel Uche,2013-01-27,Verified
C-OF-O-B86F9CD1,89,6,Trans-Ekulu,Enugu,Simon Abiola,2012-02-12,Verified
C-OF-O-A3A84A13,140,45,Victoria Island,Lagos,Juliet Obi,2024-08-20,Verified
C-OF-O-51FAA3D2,71,17,GRA,Enugu,Peter Obi,2017-02-21,Verified
C-OF-O-6D521A1F,88,12,Onitsha GRA,Anambra,Blessing Chukwu,2023-10-19,Verified
C-OF-O-1657F0F9,137,25,Onitsha GRA,Anambra,Emmanuel Eze,2018-02-06,Verified
C-OF-O-C98ADF6D,35,29,Amawbia,Anambra,Comfort Abiola,2024-05-02,Verified
C-OF-O-5076BFE7,137,28,Trans-Ekulu,Enugu,James Okonkwo,2022-10-02,Verified
C-OF-O-11446F63,15,26,Onitsha GRA,Anambra,Samuel Chukwu,2017-12-11,Verified
C-OF-O-CBB1722C,188,24,Ikeja GRA,Lagos,Benjamin Ogunleye,2022-06-13,Verified
C-OF-O-15B860AE,99,47,Ikeja GRA,Lagos,Faith Ibrahim,2010-12-18,Verified
C-OF-O-ABB54E6B,74,23,Enugu-Ukwu,Anambra,Hope Okafor,2011-08-30,Verified
C-OF-O-8F31C635,173,40,Onitsha GRA,Anambra,Joshua Ibrahim,2020-09-04,Verified
C-OF-O-319B6B42,104,23,Ikoyi,Lagos,Faith Olawale,2018-01-03,Verified
C-OF-O-9ED8D391,12,22,Enugu-Ukwu,Anambra,Paul Chukwu,2021-08-31,Verified
C-OF-O-70AC6D08,69,32,Enugu-Ukwu,Anambra,Stephen Okafor,2013-01-19,Verified
C-OF-O-9C645BF4,64,48,Uwani,Enugu,Faith Adetokunbo,2022-06-21,Verified
C-OF-O-AD88A83C,128,37,Enugu-Ukwu,Anambra,Angela Obi,2020-11-01,Verified
C-OF-O-BD4257B5,33,34,Amawbia,Anambra,Benjamin Okonkwo,2018-02-25,Verified
C-OF-O-6F3C562F,195,41,Uwani,Enugu,Comfort Uche,2013-09-19,Verified
C-OF-O-3531B5CA,108,20,Ikoyi,Lagos,Deborah Ogunleye,2016-04-30,Verified
C-OF-O-2344885C,176,41,Victoria Island,Lagos,Joshua Oshodi,2011-09-09,Verified
C-OF-O-61981C59,116,36,GRA,Enugu,Paul Eze,2019-03-22,Verified
C-OF-O-0D11E5C3,52,41,Victoria Island,Lagos,Esther Chukwu,2015-06-07,Verified
C-OF-O-3AFBEAFA,176,1,Victoria Island,Lagos,Ruth Adetokunbo,2018-04-26,Verified
C-OF-O-35ED7948,195,26,Nnewi,Anambra,Juliet Abiola,2017-09-14,Verified
C-OF-O-0EC99D1F,49,49,Trans-Ekulu,Enugu,Benjamin Nnamani,2018-03-18,Verified
C-OF-O-EFDB365C,98,27,Amawbia,Anambra,Blessing Uche,2011-06-29,Verified
C-OF-O-F5CA6E25,163,43,Victoria Island,Lagos,Mary Eze,2023-12-29,Verified
C-OF-O-6B8F6E81,88,7,New Haven,Enugu,Deborah Ogunleye,2018-01-10,Verified
C-OF-O-3A6A8497,137,12,Trans-Ekulu,Enugu,Cornelius Obasanjo,2023-08-20,Verified
C-OF-O-4BA785E1,196,11,Amawbia,Anambra,Nathaniel Ekwueme,2018-08-19,Verified
C-OF-O-A1362815,62,22,Amawbia,Anambra,Agnes Adeyemi,2012-06-13,Verified
C-OF-O-94050817,94,17,Victoria Island,Lagos,Andrew Adetokunbo,2017-09-16,Verified
C-OF-O-266DE6CE,136,42,Uwani,Enugu,Patience Chukwu,2018-07-26,Verified
C-OF-O-13D869AE,100,12,Victoria Island,Lagos,Benjamin Olawale,2014-03-28,Verified
C-OF-O-CABF62DE,74,36,Uwani,Enugu,Mark Adetokunbo,2022-03-08,Verified
C-OF-O-9CDDDAB8,5,40,Trans-Ekulu,Enugu,Benjamin Okafor,2015-12-10,Verified
C-OF-O-C54B3CCC,42,25,Trans-Ekulu,Enugu,Deborah Ojo,2014-02-27,Verified
C-OF-O-5AB9970D,25,17,Surulere,Lagos,Victoria Ogunleye,2019-01-12,Verified
C-OF-O-9528CA3D,88,30,Ikoyi,Lagos,Grace Okonkwo,2016-07-11,Verified
C-OF-O-56C9F468,164,33,Ikoyi,Lagos,Emmanuel Akinwale,2012-04-10,Verified
C-OF-O-282963D5,31,18,Nnewi,Anambra,Hope Okonkwo,2012-08-01,Verified
C-OF-O-0F4F9894,3,17,Uwani,Enugu,Daniel Olawale,2024-08-18,Verified
C-OF-O-FE2C8FDA,28,36,Trans-Ekulu,Enugu,Paul Olawale,2014-07-04,Verified
C-OF-O-C1882300,115,48,Uwani,Enugu,Grace Olawale,2024-04-05,Verified
C-OF-O-066AFB5E,151,34,Uwani,Enugu,Andrew Oyekan,2017-03-07,Verified
C-OF-O-09B86928,127,30,New Haven,Enugu,Emmanuel Ekwueme,2011-01-21,Verified
C-OF-O-E38A989E,156,21,Surulere,Lagos,Andrew Okafor,2022-04-04,Verified
C-OF-O-0918DE0E,8,28,Uwani,Enugu,Michael Abiola,2023-10-23,Verified
C-OF-O-EF2F16BA,43,14,Ikeja GRA,Lagos,Gloria Okafor,2020-01-06,Verified
C-OF-O-4603BC63,4,31,Trans-Ekulu,Enugu,Benjamin Eze,2022-12-11,Verified
C-OF-O-E116FD2A,144,35,Enugu-Ukwu,Anambra,Joseph Okafor,2020-08-21,Verified
C-OF-O-B58E0043,59,39,Trans-Ekulu,Enugu,Grace Olawale,2019-05-31,Verified
C-OF-O-61B11019,91,25,Trans-Ekulu,Enugu,Angela Okonkwo,2010-12-07,Verified
C-OF-O-424C9852,55,35,Uwani,Enugu,Samuel Olawale,2018-07-24,Verified
C-OF-O-73328FC2,172,23,Uwani,Enugu,Sarah Chukwu,2024-03-08,Verified
C-OF-O-A79F93AA,105,38,Trans-Ekulu,Enugu,Elizabeth Akinwale,2024-05-30,Verified
C-OF-O-47A4A9B6,191,9,Ikeja GRA,Lagos,Stephen Ibrahim,2023-02-11,Verified
C-OF-O-58C06E70,121,6,Amawbia,Anambra,Benjamin Ibrahim,2020-08-12,Verified
C-OF-O-A8CAD8AE,40,34,Uwani,Enugu,Daniel Obi,2021-01-04,Verified
C-OF-O-2B8729DC,55,4,GRA,Enugu,Daniel Ogunleye,2022-02-10,Verified
C-OF-O-6D58FC3B,50,39,Surulere,Lagos,Stephen Olawale,2021-01-16,Verified
C-OF-O-857C3D28,116,37,Surulere,Lagos,Victoria Oshodi,2019-05-20,Verified
C-OF-O-4D96FA81,59,41,New Haven,Enugu,Paul Oyekan,2024-04-09,Verified
C-OF-O-3A61EFE4,49,6,Enugu-Ukwu,Anambra,James Chukwu,2014-09-04,Verified
C-OF-O-D67ED4FC,163,6,Surulere,Lagos,Benjamin Adeyemi,2016-05-24,Verified
C-OF-O-F0F33537,68,38,Uwani,Enugu,Angela Oyekan,2019-06-21,Verified
C-OF-O-DC275A9B,61,50,Victoria Island,Lagos,Grace Ekwueme,2011-03-14,Verified
C-OF-O-ED018854,194,6,Victoria Island,Lagos,David Nnamani,2017-06-20,Verified
C-OF-O-3ED02EDA,10,21,Victoria Island,Lagos,Benjamin Abiola,2020-10-30,Verified
C-OF-O-E79DB0A0,132,34,Ikoyi,Lagos,Charity Adetokunbo,2020-07-11,Pledged as Collateral
C-OF-O-C2D0595C,81,13,Ikoyi,Lagos,Joy Akinwale,2017-06-20,Verified
C-OF-O-D7C70B88,60,24,Victoria Island,Lagos,Patience Nnamani,2013-11-08,Verified
C-OF-O-3ED27B43,72,37,Ikeja GRA,Lagos,Elizabeth Ibrahim,2016-09-13,Verified
C-OF-O-8C35C334,14,46,New Haven,Enugu,David Nnamani,2013-01-25,Verified
C-OF-O-C9E3B28B,17,9,Uwani,Enugu,Grace Oyekan,2023-07-17,Under Dispute
C-OF-O-EFBC6619,159,12,Onitsha GRA,Anambra,James Adetokunbo,2012-03-12,Verified
C-OF-O-379BA614,162,40,Trans-Ekulu,Enugu,Gloria Ekwueme,2019-05-15,Verified
C-OF-O-0E2FD4B2,74,21,Nnewi,Anambra,Agnes Obi,2011-02-17,Verified
C-OF-O-5E1A820D,88,16,Nnewi,Anambra,David Ogunleye,2023-01-21,Verified
C-OF-O-37C02F8A,46,33,Ikoyi,Lagos,Michael Eze,2015-07-06,Verified
C-OF-O-1D910FC6,183,45,Uwani,Enugu,Patience Ekwueme,2017-01-26,Verified
C-OF-O-4E2B42E5,155,16,Uwani,Enugu,Comfort Ekwueme,2019-05-25,Verified
C-OF-O-16563F7A,15,17,Victoria Island,Lagos,Peter Balogun,2018-07-26,Verified
C-OF-O-91A9A3A5,53,47,Nnewi,Anambra,Deborah Ogunleye,2015-11-03,Verified
C-OF-O-40CBF0E8,122,9,Enugu-Ukwu,Anambra,John Adeyemi,2018-11-21,Verified
C-OF-O-CD92FD47,196,38,Surulere,Lagos,Emmanuel Balogun,2019-06-14,Verified
C-OF-O-B60F61CB,142,40,Nnewi,Anambra,Comfort Okonkwo,2018-06-05,Verified
C-OF-O-6CE8B1B6,144,38,Onitsha GRA,Anambra,Hope Obasanjo,2013-05-29,Verified
C-OF-O-E8267F4A,142,47,Enugu-Ukwu,Anambra,Benjamin Oyekan,2018-10-12,Verified
C-OF-O-C37ECD86,28,41,Uwani,Enugu,Deborah Okonkwo,2023-03-26,Verified
C-OF-O-E086E1F0,67,42,Ikeja GRA,Lagos,James Ojo,2017-10-28,Verified
C-OF-O-1C969C71,5,28,Enugu-Ukwu,Anambra,Cornelius Uche,2012-07-05,Verified
C-OF-O-BE54328F,118,12,GRA,Enugu,Simon Uche,2014-07-18,Verified
C-OF-O-7293A0EA,133,10,Trans-Ekulu,Enugu,Cornelius Abiola,2013-08-19,Verified
C-OF-O-870C6047,134,34,Ikoyi,Lagos,Samuel Nnamani,2012-06-13,Verified
C-OF-O-C4BF9CB0,181,8,Enugu-Ukwu,Anambra,Peace Ojo,2021-08-13,Verified
C-OF-O-10E994A3,140,3,Surulere,Lagos,Blessing Olawale,2023-11-09,Verified
C-OF-O-F7C75427,77,36,New Haven,Enugu,Daniel Ogunleye,2013-06-22,Verified
C-OF-O-C99C6715,56,43,Uwani,Enugu,Joshua Akinwale,2022-06-16,Verified
C-OF-O-86C256ED,174,7,GRA,Enugu,Hope Chukwu,2017-04-15,Verified
C-OF-O-2030C430,47,8,Ikeja GRA,Lagos,Nathaniel Oshodi,2014-08-15,Verified
C-OF-O-2AC16A5D,122,40,Amawbia,Anambra,Paul Eze,2024-04-14,Verified
C-OF-O-7790563B,31,25,Ikeja GRA,Lagos,Cornelius Ibrahim,2012-09-19,Verified
